DB00001,Lepirudin,BiotechDrug,46507011,
DB00002,Cetuximab,BiotechDrug,46507042,
DB00003,Dornase alfa,BiotechDrug,46507792,
DB00004,Denileukin diftitox,BiotechDrug,46506950,
DB00005,Etanercept,BiotechDrug,46506732,
DB00006,Bivalirudin,SmallMoleculeDrug,46507415,
DB00007,Leuprolide,SmallMoleculeDrug,46507635,
DB00008,Peginterferon alfa-2a,BiotechDrug,46504860,
DB00009,Alteplase,BiotechDrug,46507035,
DB00010,Sermorelin,BiotechDrug,46507399,
DB00011,Interferon alfa-n1,BiotechDrug,46506227,
DB00012,Darbepoetin alfa,BiotechDrug,46504480,
DB00013,Urokinase,BiotechDrug,46506299,
DB00014,Goserelin,SmallMoleculeDrug,46507336,
DB00015,Reteplase,BiotechDrug,46506092,
DB00016,Erythropoietin,BiotechDrug,46508122,
DB00017,Salmon calcitonin,BiotechDrug,46506061,
DB00018,Interferon alfa-n3,BiotechDrug,46508902,
DB00019,Pegfilgrastim,BiotechDrug,46505853,
DB00020,Sargramostim,BiotechDrug,46507000,
DB00022,Peginterferon alfa-2b,BiotechDrug,46506669,
DB00023,Asparaginase Escherichia coli,BiotechDrug,46507633,
DB00024,Thyrotropin alfa,BiotechDrug,46505696,
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,46506209,
DB00026,Anakinra,BiotechDrug,46507944,
DB00027,Gramicidin D,SmallMoleculeDrug,46507412,
DB00028,Human immunoglobulin G,BiotechDrug,46508774,
DB00029,Anistreplase,BiotechDrug,46504487,
DB00030,Insulin human,BiotechDrug,46506231,
DB00031,Tenecteplase,BiotechDrug,46508657,
DB00032,Menotropins,BiotechDrug,46504503,
DB00033,Interferon gamma-1b,BiotechDrug,46507194,
DB00034,"Interferon alfa-2a, Recombinant",BiotechDrug,46506712,
DB00035,Desmopressin,SmallMoleculeDrug,,
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,46507544,
DB00038,Oprelvekin,BiotechDrug,46506470,
DB00039,Palifermin,BiotechDrug,46506691,
DB00040,Glucagon,BiotechDrug,46504732,
DB00041,Aldesleukin,BiotechDrug,46508054,
DB00042,Botulinum Toxin Type B,BiotechDrug,46504750,
DB00043,Omalizumab,BiotechDrug,46507002,
DB00044,Lutropin alfa,BiotechDrug,46507624,
DB00045,Lyme disease vaccine (recombinant OspA),BiotechDrug,46504444,
DB00046,Insulin lispro,BiotechDrug,46507498,
DB00047,Insulin glargine,BiotechDrug,46507981,
DB00048,Collagenase clostridium histolyticum,BiotechDrug,46506485,
DB00049,Rasburicase,BiotechDrug,46504490,
DB00050,Cetrorelix,SmallMoleculeDrug,46505494,
DB00051,Adalimumab,BiotechDrug,46504982,
DB00052,Somatotropin,BiotechDrug,46506010,
DB00053,Imiglucerase,BiotechDrug,46508744,
DB00054,Abciximab,BiotechDrug,46505910,
DB00055,Drotrecogin alfa,BiotechDrug,46505655,
DB00056,Gemtuzumab ozogamicin,BiotechDrug,46505767,
DB00058,Alpha-1-proteinase inhibitor,BiotechDrug,46506364,
DB00059,Pegaspargase,BiotechDrug,46505366,
DB00060,Interferon beta-1a,BiotechDrug,46504899,
DB00061,Pegademase,BiotechDrug,46508490,
DB00062,Albumin human,BiotechDrug,46509098,
DB00063,Eptifibatide,BiotechDrug,46505459,
DB00065,Infliximab,BiotechDrug,46505602,
DB00066,Follitropin,BiotechDrug,46508818,
DB00067,Vasopressin,SmallMoleculeDrug,46505933,
DB00068,Interferon beta-1b,BiotechDrug,46504458,
DB00069,Interferon alfacon-1,BiotechDrug,46505985,
